model_id,public_auc,private_auc
10,0.88063,0.87641
19,0.89457,0.89159
52,0.78596,0.78164
67,0.89304,0.89027
72,0.8947,0.89052
75,0.81146,0.80607
81,0.89509,0.89165
84,0.89444,0.89133
86,0.88044,0.87764
117,0.87972,0.87655
143,0.78526,0.78079
145,0.80686,0.80215
154,0.80995,0.80521
168,0.78516,0.78157
169,0.89549,0.89218
184,0.88151,0.87819
190,0.88002,0.87708
222,0.80967,0.804
240,0.88056,0.87698
244,0.80728,0.80226
253,0.89443,0.89139
274,0.8793,0.87647
294,0.89452,0.89197
327,0.88035,0.87648
339,0.87949,0.87703
371,0.89479,0.89164
385,0.8029,0.79875
387,0.87961,0.87643
412,0.89388,0.89262
441,0.87853,0.87504
442,0.89357,0.8909
445,0.87865,0.87489
455,0.81539,0.81233
459,0.81938,0.81532
462,0.89455,0.8921
472,0.89414,0.89182
479,0.89545,0.89206
484,0.78554,0.78129
505,0.87872,0.87581
532,0.89324,0.88967
563,0.8781,0.87465
571,0.89328,0.8901
576,0.78954,0.78533
585,0.87828,0.8743
618,0.87878,0.87497
619,0.81918,0.81472
630,0.81194,0.80697
631,0.81167,0.80724
676,0.87862,0.87642
681,0.87794,0.87413
704,0.89369,0.89115
707,0.87194,0.86984
709,0.81027,0.80724
724,0.89444,0.89141
725,0.86932,0.86703
751,0.81426,0.81085
755,0.87112,0.86838
761,0.89516,0.89267
762,0.89398,0.89237
764,0.89401,0.89191
767,0.86864,0.86606
769,0.89418,0.8915
783,0.80744,0.80351
785,0.81799,0.81422
819,0.87109,0.86856
822,0.79548,0.79184
825,0.87187,0.8696
827,0.86845,0.8658
833,0.87176,0.86944
841,0.81599,0.81226
862,0.83842,0.83584
864,0.84184,0.83639
866,0.85735,0.85446
868,0.85447,0.85206
880,0.85826,0.85503
886,0.8572,0.85444
887,0.84407,0.83921
889,0.87385,0.87221
893,0.87305,0.87045
894,0.84299,0.83937
897,0.87624,0.87653
900,0.85901,0.85604
914,0.87229,0.86799
920,0.87754,0.87564
921,0.83416,0.83414
930,0.86096,0.86066
935,0.86094,0.86064
937,0.86096,0.86066
940,0.86094,0.86064
941,0.8443,0.84406
942,0.8443,0.84406
943,0.8443,0.84406
944,0.86101,0.86068
945,0.86094,0.86064
951,0.86098,0.86067
953,0.8443,0.84406
963,0.8443,0.84406
970,0.86097,0.86066
974,0.86094,0.86064
978,0.86094,0.86064
